event_uid,amount,tx_type,account_age_days,mcc,is_vpn,predicted_label,model_probability,model_confidence,risk_score,risk_level,task_path,reviewed_label,reviewed_by,reviewed_at,review_note
DEMO-900026,16144.72,1,14,6011,true,heavy,0.6697,0.3394,67.0,medium,ENHANCED VERIFICATION,heavy,pre-hackathon-team,2026-07-20T10:00:00+00:00,"Moderate amount but new account, cashout, and VPN require heavy review"
DEMO-900027,4245.1,0,301,4814,false,light,0.2154,0.5691,21.5,low,LIGHT FAST-PATH,light,pre-hackathon-team,2026-07-20T10:00:00+00:00,Low-complexity trusted transaction suitable for the fast path
DEMO-900028,1237.07,2,34,5411,false,heavy,0.3603,0.2794,36.0,low,LIGHT FAST-PATH,light,pre-hackathon-team,2026-07-20T10:00:00+00:00,Human reviewer corrected the original model. Young account alone does not require heavy processing
DEMO-900029,3635.14,0,268,4814,false,light,0.2242,0.5516,22.4,low,LIGHT FAST-PATH,light,pre-hackathon-team,2026-07-20T10:00:00+00:00,Normal transfer with no elevated factors remains light
DEMO-900030,4315.2,2,1046,5411,false,light,0.1178,0.7644,11.8,low,LIGHT FAST-PATH,light,pre-hackathon-team,2026-07-20T10:00:00+00:00,Low-complexity trusted transaction suitable for the fast path
DEMO-900031,29417.25,2,2810,5411,false,light,0.4678,0.0643,46.8,low,LIGHT FAST-PATH,light,pre-hackathon-team,2026-07-20T10:00:00+00:00,High amount from a mature account remains a light merchant-payment path
DEMO-900032,35204.91,1,39,6011,true,light,0.8965,0.793,89.6,high,DEEP FRAUD CHECK,heavy,pre-hackathon-team,2026-07-20T10:00:00+00:00,Human reviewer corrected the original model. High-complexity transaction requiring enhanced verification
DEMO-900033,5185.97,2,1544,5411,false,light,0.1587,0.6826,15.9,low,LIGHT FAST-PATH,light,pre-hackathon-team,2026-07-20T10:00:00+00:00,Low-complexity trusted transaction suitable for the fast path
DEMO-900034,1501.54,1,1510,5411,false,light,0.2266,0.5468,22.7,low,LIGHT FAST-PATH,light,pre-hackathon-team,2026-07-20T10:00:00+00:00,Small cashout from an established account is confirmed light
DEMO-900035,12536.58,1,2,6011,true,heavy,0.7782,0.5564,77.8,high,DEEP FRAUD CHECK,heavy,pre-hackathon-team,2026-07-20T10:00:00+00:00,"Moderate amount but new account, cashout, and VPN require heavy review"
DEMO-900036,15297.07,1,13,6011,true,heavy,0.6792,0.3584,67.9,medium,ENHANCED VERIFICATION,heavy,pre-hackathon-team,2026-07-20T10:00:00+00:00,"Moderate amount but new account, cashout, and VPN require heavy review"
DEMO-900037,2364.75,0,3,7995,true,heavy,0.6032,0.2064,60.3,medium,ENHANCED VERIFICATION,heavy,pre-hackathon-team,2026-07-20T10:00:00+00:00,Low amount with masked gambling merchant pattern requires deep checks
DEMO-900038,37177.38,2,2531,5411,false,light,0.2564,0.4871,25.6,low,LIGHT FAST-PATH,light,pre-hackathon-team,2026-07-20T10:00:00+00:00,High amount from a mature account remains a light merchant-payment path
DEMO-900039,7496.4,0,1018,4814,false,light,0.0966,0.8068,9.7,low,LIGHT FAST-PATH,light,pre-hackathon-team,2026-07-20T10:00:00+00:00,Low-complexity trusted transaction suitable for the fast path
DEMO-900040,82816.93,1,31,6011,false,heavy,0.9069,0.8137,90.7,high,DEEP FRAUD CHECK,heavy,pre-hackathon-team,2026-07-20T10:00:00+00:00,High-complexity transaction requiring enhanced verification
DEMO-900041,5534.0,2,1310,4814,false,light,0.1978,0.6044,19.8,low,LIGHT FAST-PATH,light,pre-hackathon-team,2026-07-20T10:00:00+00:00,Low-complexity trusted transaction suitable for the fast path
DEMO-900042,22047.55,2,1583,5411,false,light,0.4582,0.0837,45.8,low,LIGHT FAST-PATH,light,pre-hackathon-team,2026-07-20T10:00:00+00:00,High amount from a mature account remains a light merchant-payment path
DEMO-900043,1743.8,0,1455,4814,false,light,0.0519,0.8962,5.2,low,LIGHT FAST-PATH,light,pre-hackathon-team,2026-07-20T10:00:00+00:00,Low-complexity trusted transaction suitable for the fast path
DEMO-900044,6423.09,0,2514,5411,false,light,0.1948,0.6104,19.5,low,LIGHT FAST-PATH,light,pre-hackathon-team,2026-07-20T10:00:00+00:00,Low-complexity trusted transaction suitable for the fast path
DEMO-900045,240.16,2,2405,5411,false,light,0.2,0.5999,20.0,low,LIGHT FAST-PATH,light,pre-hackathon-team,2026-07-20T10:00:00+00:00,Low-complexity trusted transaction suitable for the fast path
DEMO-900046,928.05,1,1508,5411,false,heavy,0.4658,0.0685,46.6,low,LIGHT FAST-PATH,light,pre-hackathon-team,2026-07-20T10:00:00+00:00,Human reviewer corrected the original model. Small cashout from an established account is confirmed light
DEMO-900047,20056.83,1,76,5411,true,heavy,0.7566,0.5132,75.7,high,DEEP FRAUD CHECK,heavy,pre-hackathon-team,2026-07-20T10:00:00+00:00,Cashout interaction pattern was corrected by human reviewers
DEMO-900048,59773.88,1,33,7995,true,heavy,0.8468,0.6937,84.7,high,DEEP FRAUD CHECK,heavy,pre-hackathon-team,2026-07-20T10:00:00+00:00,High-complexity transaction requiring enhanced verification
DEMO-900049,31912.87,0,1032,6011,false,heavy,0.6073,0.2145,60.7,medium,ENHANCED VERIFICATION,heavy,pre-hackathon-team,2026-07-20T10:00:00+00:00,High-value transfer requires enhanced processing despite established account
DEMO-900050,5964.32,0,473,4814,false,light,0.2996,0.4008,30.0,low,LIGHT FAST-PATH,light,pre-hackathon-team,2026-07-20T10:00:00+00:00,Normal transfer with no elevated factors remains light
DEMO-900051,46090.05,0,1117,6011,false,heavy,0.5806,0.1613,58.1,medium,ENHANCED VERIFICATION,heavy,pre-hackathon-team,2026-07-20T10:00:00+00:00,High-value transfer requires enhanced processing despite established account
DEMO-900052,87511.15,1,6,6011,false,heavy,0.8267,0.6533,82.7,high,DEEP FRAUD CHECK,heavy,pre-hackathon-team,2026-07-20T10:00:00+00:00,High-complexity transaction requiring enhanced verification
DEMO-900053,16023.44,1,119,5411,true,heavy,0.6124,0.2247,61.2,medium,ENHANCED VERIFICATION,heavy,pre-hackathon-team,2026-07-20T10:00:00+00:00,Cashout interaction pattern was corrected by human reviewers
DEMO-900054,91305.35,1,23,7995,true,heavy,0.7951,0.5902,79.5,high,DEEP FRAUD CHECK,heavy,pre-hackathon-team,2026-07-20T10:00:00+00:00,High-complexity transaction requiring enhanced verification
DEMO-900055,64445.96,0,2,7995,false,heavy,0.957,0.9141,95.7,high,DEEP FRAUD CHECK,heavy,pre-hackathon-team,2026-07-20T10:00:00+00:00,High-complexity transaction requiring enhanced verification
DEMO-900056,16561.14,1,13,6011,true,heavy,0.6085,0.217,60.8,medium,ENHANCED VERIFICATION,heavy,pre-hackathon-team,2026-07-20T10:00:00+00:00,"Moderate amount but new account, cashout, and VPN require heavy review"
DEMO-900057,2257.94,0,157,4814,false,light,0.4067,0.1867,40.7,low,LIGHT FAST-PATH,light,pre-hackathon-team,2026-07-20T10:00:00+00:00,Normal transfer with no elevated factors remains light
DEMO-900058,527.19,2,10,5411,false,light,0.2423,0.5154,24.2,low,LIGHT FAST-PATH,light,pre-hackathon-team,2026-07-20T10:00:00+00:00,Young account alone does not require heavy processing
DEMO-900059,370.6,2,37,5411,false,light,0.3498,0.3005,35.0,low,LIGHT FAST-PATH,light,pre-hackathon-team,2026-07-20T10:00:00+00:00,Young account alone does not require heavy processing
DEMO-900060,1295.91,2,15,5411,false,light,0.2661,0.4677,26.6,low,LIGHT FAST-PATH,light,pre-hackathon-team,2026-07-20T10:00:00+00:00,Young account alone does not require heavy processing
DEMO-900061,5664.02,0,8,7995,true,heavy,0.6273,0.2545,62.7,medium,ENHANCED VERIFICATION,heavy,pre-hackathon-team,2026-07-20T10:00:00+00:00,Low amount with masked gambling merchant pattern requires deep checks
DEMO-900062,17996.13,1,93,5411,true,heavy,0.6459,0.2918,64.6,medium,ENHANCED VERIFICATION,heavy,pre-hackathon-team,2026-07-20T10:00:00+00:00,Cashout interaction pattern was corrected by human reviewers
DEMO-900063,91325.9,0,17,7995,true,heavy,0.8476,0.6953,84.8,high,DEEP FRAUD CHECK,heavy,pre-hackathon-team,2026-07-20T10:00:00+00:00,High-complexity transaction requiring enhanced verification
DEMO-900064,38828.63,1,20,7995,false,heavy,0.8258,0.6516,82.6,high,DEEP FRAUD CHECK,heavy,pre-hackathon-team,2026-07-20T10:00:00+00:00,High-complexity transaction requiring enhanced verification
DEMO-900065,92646.12,0,55,6011,true,heavy,0.9668,0.9336,96.7,high,DEEP FRAUD CHECK,heavy,pre-hackathon-team,2026-07-20T10:00:00+00:00,High-complexity transaction requiring enhanced verification
DEMO-900066,7361.61,0,1256,4814,false,light,0.2249,0.5502,22.5,low,LIGHT FAST-PATH,light,pre-hackathon-team,2026-07-20T10:00:00+00:00,Low-complexity trusted transaction suitable for the fast path
DEMO-900067,20392.03,1,39,5411,true,heavy,0.6081,0.2162,60.8,medium,ENHANCED VERIFICATION,heavy,pre-hackathon-team,2026-07-20T10:00:00+00:00,Cashout interaction pattern was corrected by human reviewers
DEMO-900068,1786.82,0,2,7995,true,heavy,0.6868,0.3736,68.7,medium,ENHANCED VERIFICATION,heavy,pre-hackathon-team,2026-07-20T10:00:00+00:00,Low amount with masked gambling merchant pattern requires deep checks
DEMO-900069,4835.72,0,152,4814,false,light,0.363,0.274,36.3,low,LIGHT FAST-PATH,light,pre-hackathon-team,2026-07-20T10:00:00+00:00,Normal transfer with no elevated factors remains light
DEMO-900070,64456.08,0,23,7995,true,heavy,0.9657,0.9314,96.6,high,DEEP FRAUD CHECK,heavy,pre-hackathon-team,2026-07-20T10:00:00+00:00,High-complexity transaction requiring enhanced verification
DEMO-900071,6624.2,2,855,5411,false,light,0.1459,0.7083,14.6,low,LIGHT FAST-PATH,light,pre-hackathon-team,2026-07-20T10:00:00+00:00,Low-complexity trusted transaction suitable for the fast path
DEMO-900072,41223.94,0,26,6011,true,heavy,0.8868,0.7735,88.7,high,DEEP FRAUD CHECK,heavy,pre-hackathon-team,2026-07-20T10:00:00+00:00,High-complexity transaction requiring enhanced verification
DEMO-900073,43948.45,1,10,7995,false,heavy,0.8677,0.7355,86.8,high,DEEP FRAUD CHECK,heavy,pre-hackathon-team,2026-07-20T10:00:00+00:00,High-complexity transaction requiring enhanced verification
DEMO-900074,86963.67,1,24,7995,true,heavy,0.9499,0.8998,95.0,high,DEEP FRAUD CHECK,heavy,pre-hackathon-team,2026-07-20T10:00:00+00:00,High-complexity transaction requiring enhanced verification
DEMO-900075,5594.49,0,1,7995,true,heavy,0.7782,0.5564,77.8,high,DEEP FRAUD CHECK,heavy,pre-hackathon-team,2026-07-20T10:00:00+00:00,Low amount with masked gambling merchant pattern requires deep checks
DEMO-900076,54916.21,1,6,6011,true,heavy,0.7752,0.5505,77.5,high,DEEP FRAUD CHECK,heavy,pre-hackathon-team,2026-07-20T10:00:00+00:00,High-complexity transaction requiring enhanced verification
DEMO-900077,2188.75,1,1480,5411,false,light,0.3577,0.2847,35.8,low,LIGHT FAST-PATH,light,pre-hackathon-team,2026-07-20T10:00:00+00:00,Small cashout from an established account is confirmed light
DEMO-900078,2207.13,0,214,4814,false,light,0.4044,0.1912,40.4,low,LIGHT FAST-PATH,light,pre-hackathon-team,2026-07-20T10:00:00+00:00,Normal transfer with no elevated factors remains light
DEMO-900079,7174.21,2,1262,5411,false,light,0.2021,0.5958,20.2,low,LIGHT FAST-PATH,light,pre-hackathon-team,2026-07-20T10:00:00+00:00,Low-complexity trusted transaction suitable for the fast path
DEMO-900080,3626.57,2,2016,5411,false,light,0.1974,0.6053,19.7,low,LIGHT FAST-PATH,light,pre-hackathon-team,2026-07-20T10:00:00+00:00,Low-complexity trusted transaction suitable for the fast path
DEMO-900081,33340.45,2,2487,5411,false,light,0.416,0.168,41.6,low,LIGHT FAST-PATH,light,pre-hackathon-team,2026-07-20T10:00:00+00:00,High amount from a mature account remains a light merchant-payment path
DEMO-900082,54219.68,0,939,6011,false,heavy,0.6611,0.3222,66.1,medium,ENHANCED VERIFICATION,heavy,pre-hackathon-team,2026-07-20T10:00:00+00:00,High-value transfer requires enhanced processing despite established account
DEMO-900083,7473.55,2,1017,4814,false,light,0.2074,0.5852,20.7,low,LIGHT FAST-PATH,light,pre-hackathon-team,2026-07-20T10:00:00+00:00,Low-complexity trusted transaction suitable for the fast path
DEMO-900084,12056.2,1,67,5411,true,heavy,0.7246,0.4493,72.5,high,DEEP FRAUD CHECK,heavy,pre-hackathon-team,2026-07-20T10:00:00+00:00,Cashout interaction pattern was corrected by human reviewers
DEMO-900085,38068.47,0,1106,6011,false,heavy,0.6588,0.3176,65.9,medium,ENHANCED VERIFICATION,heavy,pre-hackathon-team,2026-07-20T10:00:00+00:00,High-value transfer requires enhanced processing despite established account
DEMO-900086,695.42,0,611,5411,false,light,0.1757,0.6485,17.6,low,LIGHT FAST-PATH,light,pre-hackathon-team,2026-07-20T10:00:00+00:00,Low-complexity trusted transaction suitable for the fast path
DEMO-900087,8104.72,1,11,6011,true,heavy,0.5669,0.1337,56.7,medium,ENHANCED VERIFICATION,heavy,pre-hackathon-team,2026-07-20T10:00:00+00:00,"Moderate amount but new account, cashout, and VPN require heavy review"
DEMO-900088,552.0,1,595,5411,false,light,0.2465,0.5069,24.7,low,LIGHT FAST-PATH,light,pre-hackathon-team,2026-07-20T10:00:00+00:00,Small cashout from an established account is confirmed light
DEMO-900089,21918.74,1,101,5411,true,heavy,0.5871,0.1742,58.7,medium,ENHANCED VERIFICATION,heavy,pre-hackathon-team,2026-07-20T10:00:00+00:00,Cashout interaction pattern was corrected by human reviewers
DEMO-900090,5282.46,0,9,7995,true,heavy,0.7001,0.4002,70.0,medium,ENHANCED VERIFICATION,heavy,pre-hackathon-team,2026-07-20T10:00:00+00:00,Low amount with masked gambling merchant pattern requires deep checks
DEMO-900091,5869.66,2,1628,5411,false,light,0.0973,0.8054,9.7,low,LIGHT FAST-PATH,light,pre-hackathon-team,2026-07-20T10:00:00+00:00,Low-complexity trusted transaction suitable for the fast path
DEMO-900092,1661.95,2,23,5411,false,light,0.3291,0.3417,32.9,low,LIGHT FAST-PATH,light,pre-hackathon-team,2026-07-20T10:00:00+00:00,Young account alone does not require heavy processing
DEMO-900093,4050.2,0,1936,5411,false,heavy,0.1295,0.741,12.9,low,LIGHT FAST-PATH,light,pre-hackathon-team,2026-07-20T10:00:00+00:00,Human reviewer corrected the original model. Low-complexity trusted transaction suitable for the fast path
DEMO-900094,868.36,2,9,5411,false,light,0.4634,0.0732,46.3,low,LIGHT FAST-PATH,light,pre-hackathon-team,2026-07-20T10:00:00+00:00,Young account alone does not require heavy processing
DEMO-900095,26601.02,1,44,5411,true,heavy,0.5721,0.1442,57.2,medium,ENHANCED VERIFICATION,heavy,pre-hackathon-team,2026-07-20T10:00:00+00:00,Cashout interaction pattern was corrected by human reviewers
DEMO-900096,28309.72,0,853,6011,false,heavy,0.6535,0.307,65.4,medium,ENHANCED VERIFICATION,heavy,pre-hackathon-team,2026-07-20T10:00:00+00:00,High-value transfer requires enhanced processing despite established account
DEMO-900097,26269.84,0,589,6011,false,heavy,0.6196,0.2393,62.0,medium,ENHANCED VERIFICATION,heavy,pre-hackathon-team,2026-07-20T10:00:00+00:00,High-value transfer requires enhanced processing despite established account
DEMO-900098,867.86,1,315,5411,false,light,0.32,0.3601,32.0,low,LIGHT FAST-PATH,light,pre-hackathon-team,2026-07-20T10:00:00+00:00,Small cashout from an established account is confirmed light
DEMO-900099,40785.58,1,15,7995,true,heavy,0.9478,0.8956,94.8,high,DEEP FRAUD CHECK,heavy,pre-hackathon-team,2026-07-20T10:00:00+00:00,High-complexity transaction requiring enhanced verification
DEMO-900100,39860.06,1,25,7995,true,heavy,0.8446,0.6893,84.5,high,DEEP FRAUD CHECK,heavy,pre-hackathon-team,2026-07-20T10:00:00+00:00,High-complexity transaction requiring enhanced verification
DEMO-900101,1790.23,2,32,5411,false,light,0.2392,0.5216,23.9,low,LIGHT FAST-PATH,light,pre-hackathon-team,2026-07-20T10:00:00+00:00,Young account alone does not require heavy processing
DEMO-900102,50586.4,0,470,6011,false,heavy,0.7766,0.5531,77.7,high,DEEP FRAUD CHECK,heavy,pre-hackathon-team,2026-07-20T10:00:00+00:00,High-value transfer requires enhanced processing despite established account
DEMO-900103,1354.36,2,7,5411,false,light,0.3487,0.3027,34.9,low,LIGHT FAST-PATH,light,pre-hackathon-team,2026-07-20T10:00:00+00:00,Young account alone does not require heavy processing
DEMO-900104,17897.44,1,7,6011,true,heavy,0.7397,0.4794,74.0,high,DEEP FRAUD CHECK,heavy,pre-hackathon-team,2026-07-20T10:00:00+00:00,"Moderate amount but new account, cashout, and VPN require heavy review"
DEMO-900105,77439.16,0,25,7995,true,heavy,0.8856,0.7712,88.6,high,DEEP FRAUD CHECK,heavy,pre-hackathon-team,2026-07-20T10:00:00+00:00,High-complexity transaction requiring enhanced verification
DEMO-900106,33239.33,0,973,6011,false,heavy,0.6438,0.2876,64.4,medium,ENHANCED VERIFICATION,heavy,pre-hackathon-team,2026-07-20T10:00:00+00:00,High-value transfer requires enhanced processing despite established account
DEMO-900107,7174.82,2,1625,4814,false,light,0.1592,0.6816,15.9,low,LIGHT FAST-PATH,light,pre-hackathon-team,2026-07-20T10:00:00+00:00,Low-complexity trusted transaction suitable for the fast path
DEMO-900108,36997.78,0,1007,6011,false,heavy,0.6954,0.3909,69.5,medium,ENHANCED VERIFICATION,heavy,pre-hackathon-team,2026-07-20T10:00:00+00:00,High-value transfer requires enhanced processing despite established account
DEMO-900109,23739.12,2,2832,5411,false,light,0.309,0.3821,30.9,low,LIGHT FAST-PATH,light,pre-hackathon-team,2026-07-20T10:00:00+00:00,High amount from a mature account remains a light merchant-payment path
DEMO-900110,867.99,1,1306,5411,false,light,0.396,0.2081,39.6,low,LIGHT FAST-PATH,light,pre-hackathon-team,2026-07-20T10:00:00+00:00,Small cashout from an established account is confirmed light
DEMO-900111,11312.64,1,8,6011,true,heavy,0.6883,0.3765,68.8,medium,ENHANCED VERIFICATION,heavy,pre-hackathon-team,2026-07-20T10:00:00+00:00,"Moderate amount but new account, cashout, and VPN require heavy review"
DEMO-900112,15198.97,1,109,5411,true,light,0.6692,0.3385,66.9,medium,ENHANCED VERIFICATION,heavy,pre-hackathon-team,2026-07-20T10:00:00+00:00,Human reviewer corrected the original model. Cashout interaction pattern was corrected by human reviewers
DEMO-900113,1013.83,2,37,5411,false,light,0.248,0.5039,24.8,low,LIGHT FAST-PATH,light,pre-hackathon-team,2026-07-20T10:00:00+00:00,Young account alone does not require heavy processing
DEMO-900114,5477.49,2,766,5411,false,light,0.2163,0.5674,21.6,low,LIGHT FAST-PATH,light,pre-hackathon-team,2026-07-20T10:00:00+00:00,Low-complexity trusted transaction suitable for the fast path
DEMO-900115,477.08,1,360,5411,false,light,0.3022,0.3955,30.2,low,LIGHT FAST-PATH,light,pre-hackathon-team,2026-07-20T10:00:00+00:00,Small cashout from an established account is confirmed light
DEMO-900116,5685.38,0,6,7995,true,light,0.5647,0.1294,56.5,medium,ENHANCED VERIFICATION,heavy,pre-hackathon-team,2026-07-20T10:00:00+00:00,Human reviewer corrected the original model. Low amount with masked gambling merchant pattern requires deep checks
DEMO-900117,84334.38,1,45,7995,true,heavy,0.8446,0.6892,84.5,high,DEEP FRAUD CHECK,heavy,pre-hackathon-team,2026-07-20T10:00:00+00:00,High-complexity transaction requiring enhanced verification
DEMO-900118,21256.93,2,941,5411,false,light,0.3942,0.2117,39.4,low,LIGHT FAST-PATH,light,pre-hackathon-team,2026-07-20T10:00:00+00:00,High amount from a mature account remains a light merchant-payment path
DEMO-900119,49701.6,1,32,7995,true,light,0.9065,0.8131,90.7,high,DEEP FRAUD CHECK,heavy,pre-hackathon-team,2026-07-20T10:00:00+00:00,Human reviewer corrected the original model. High-complexity transaction requiring enhanced verification
DEMO-900120,25817.49,2,1900,5411,false,light,0.3041,0.3918,30.4,low,LIGHT FAST-PATH,light,pre-hackathon-team,2026-07-20T10:00:00+00:00,High amount from a mature account remains a light merchant-payment path
